Unnamed: 0,번호,질문,의도 카테고리,분류 클래스
6908,6904,화재 배상책임보험의 특약은 무엇인가요?,특별 약관,5
6916,6912,보험료는 얼마나 되나요?,기타,999
6919,6915,어떤 종류의 보험이 있나요,기타,999
6938,6934,해외 현지에서 병원에가면 보험 적용받나요?,기타,999
6941,6937,만약 해외에서 질병으로 사망시는 어떻게 되나요?,기타,999
6981,6976,화재보험과 화재배상책임보험은 다른가요?,기타,999
6989,6984,후진하다가 오토바이를 못보고 쓰러뜨렸어요 어떻게 처리해야하나?,기타,999
6991,6986,자동차보험에 어떤특약이 있어야 하나요?,특별 약관,5
7002,6997,펫보험이 뭔가요?,기타,999
7013,7008,공놀이하다가 공이 굴러서 자동차2대 추돌했어요 어떻게 처리해야하나요?,기타,999
7026,7021,출근길교통사고는 자동차보험이랑 산재처리 동시에 되나요?,기타,999
7031,7026,외근 나왔는데 교통사고가 났어요 어쩌죠?,기타,999
7032,7027,제가 다리 골절인데 산재처리 될까요?,기타,999
7034,7029,단체보험에 산재특약이 없다면요?,특별 약관,5
7054,7049,4중 충돌사고가 났어요 책임은 누가지나요?,기타,999
7057,7052,삼중충돌사고가 났어요 보험처리 어떻게 해야하나요?,기타,999
7064,7059,사중충돌사고가 났는데 제가 급정거를 했어요 보험처리 되나요?,기타,999
7077,7072,보험사에서 처리가 안될까요?,기타,999
7114,7109,아이가 다친 상황은 상해인가요?,기타,999
7163,7158,휴업손해액은 뭔데요?,기타,999
7166,7161,수입감소액은 뭐를 기준으로 산정해주는데요?,기타,999
7211,7206, 치과 치료전에 치과 보험 들고 싶은데요?,보험 가입,0
7239,7234,부상등급은 어떻게 구분되나요?,기타,999
7242,7237,운전자보험으로 교통사고후유장해 특약을 넣기도 한다는데요?,특별 약관,5
7256,7251,위자료에는 어떤 것들이 포함되나요?,기타,999
7260,7255,후유장애는 장애인 급수로 적용되나요?,기타,999
7261,7256,휴업 손해액이 있던데요. 그건 가게를 하는 경우에 주는건가요?,기타,999
7328,7323,실수로 집에 불이 났어요. 화재보험 적용이 될까요?,기타,999
7363,7358,그럼 전봇대에 혼자 부딪쳐난 사고도 할증되나요?,기타,999
7378,7373,"여기보니 휴업손해액이 있던데, 사업자에만 해당되는건가요?",기타,999
7380,7375,마지막으로 수입감소액은 뭘 기준으로 산정하는거죠?,기타,999
7382,7377,실손의료비의 장점은 무엇인가요?,기타,999
7393,7388,그럼 가장 심장질환 관련 많이 받는 질병은 무엇인가요?,기타,999
7403,7398,OO보험의 종신보험의 단점은 무엇인가요?,기타,999
7410,7405,종신보험의 보험료는 비싼편이죠?,기타,999
7411,7406,종신보험의 보험료를 낮추는 방법은 없나요?,기타,999
7418,7413,의료실비보험이란 무엇인지 자세히 설명 부탁합니다.,기타,999
7420,7415,의료실비보험은 이름도 많지 않나요?,기타,999
7462,7457,제가 자동차 접촉사고가 났는데. 심하진 않은 것 같은데 보험처리 해도 될까요?,기타,999
7464,7459,소손해안심서비스제도가 어떤 제도에요?,기타,999
7512,7507,자동차보험에 어떤특약이 있어야 배상이 되는건가요.,특별 약관,5
7595,7590,아이가 자전거 사고를 당했는데 보험얼마나 되는지 해서요.,기타,999
7634,7629,아래집이랑 누수문제가 생겼는데 배상 확인부탁드립니다.,기타,999
7765,7760,급여랑 비급여 둘다 된다고 알고있는데 아닌가요?,기타,999
7766,7761,특약에 있으면 비급여도 된다는말인가요?,특별 약관,5
7767,7762,어떤 특약이있어야하나요?,특별 약관,5
7797,7792,특약에 보면 5종수술이라고 되어있던데 이게 뭐죠?,특별 약관,5
7828,7823,혹시 부상치료비 특약으로 추가 가능할까요?,특별 약관,5
7830,7825,아 이번에 장염으로 병원을 좀 다녀왔는데 보험처리 가능할까요?,기타,999
7880,7875,수술특약이 있는 걸로 아는데 확인해 줄수 있나요?,특별 약관,5
8641,8636,특약도 보려면요?,특별 약관,5
8653,8648,특약도 보려면요?,특별 약관,5
8664,8659,특약도 보려면요?,특별 약관,5
8679,8674,"네, 그밖에 해외 치과 치료도 보험적용이 되나요?",기타,999
8920,8915,주요성인병 수술비가 있던데 주요성인병이 어떤건가요?,기타,999
8922,8917,그럼 다른 특약들도 1회당 수술비 얼마라고 된건 전부다 무제한인거예요?,특별 약관,5
8926,8921,그럼 이 두 특약에서 모두 수술비가 나오는건가요?,특별 약관,5
8957,8952,그럼  암진단비도 한도가 정해져 있나요?,기타,999
8961,8956,뇌출혈이랑 뇌혈관이랑 다른건가요?,기타,999
8986,8981,피보험자는 무슨 말이예요?,기타,999
9015,9010,허혈성 심장질환이란 어떤 병을 말하는 거예요?,기타,999
9024,9019,수술이나 입원 특약은 하나도 없나요?,특별 약관,5
9026,9021,다른 보험은 다 있던데요?,기타,999
9030,9025,어떤 행위인가요?,기타,999
9033,9028,그런가요. 제가 아직 초보지만 암벽등반 취미가 있는데 그럼 저같은 경우는 등반중의 사고에 대비해서 어떤 보험을 들면 좋은가요?,기타,999
9034,9029,재해 담보요? 상해와 재해가 어떻게 다른가요?,기타,999
9052,9047,간병비도 특약에 있나요?,특별 약관,5
9156,9151,치수치료란 무엇인가요?,기타,999
9157,9152,그럼 치주치료는 무엇인가요?,기타,999
9177,9172,특약은 자유롭게 선택할 수 있나요?,특별 약관,5
9178,9173,의무특약은 몇가지인가요?,특별 약관,5
9183,9178,복통으로 응급실 가서 진통제 맞은거도 되나요?,기타,999
9258,9253,2018년 4월부터 시행되었던 유병력자 실손의료비에 대해 알고 싶습니다.,기타,999
9259,9254,유병력자 실손의료보험의 특징은 무엇인가요?,기타,999
9278,9273,암 관련에서 백혈병도 포함되나요?,기타,999
9292,9287,실손의료비 담보중에서 일반상해의료비라는 담보를 알려주세요.,기타,999
9296,9291,국민건강보험을 적용받지 아니한 사고는 무엇을 말할까요?,기타,999
9297,9292,일반상해의료비의 큰 특징은 무엇인가요?,기타,999
9298,9293,그럼 일반상해의료비의 장점과 단점을 알려주세요.,기타,999
9299,9294,일반상해의료비의 장점과 단점이 이렇게 많나요?,기타,999
9307,9302,아니 실비의 경우 통원의료비가 최대 25만원 아닌가요?,기타,999
9314,9309,일반상해의료비의 큰 단점은 무엇인가요?,기타,999
9315,9310,상해입원실손의료비의 보험료가 비싼 이유는 뭔가요?,기타,999
9316,9311,그럼 상해입원실손의료비를 정리한다면 어찌 정리할까요?,기타,999
9330,9325,"만일 상해입원의료비, 질병입원의료비가 365일 이내로 전부 소진시에는 어떻게 되나요?",기타,999
9348,9343,한방치료에 대한 부분은 거의 다 비급여에 해당하지 않습니까?,기타,999
9353,9348,보험사의 건강보험 미적용 사례가 있나요?,기타,999
9356,9351,그렇다면 건강보험법에서 정한 급여를 적용받지 못하는 경우는 어떤 경우입니까?,기타,999
9357,9352,건강보험법에서 정한 급여를 적용받지 못하는 경우를 국민건강보험법에 제54조에는 어떻게 적여있나요?,기타,999
9358,9353,"요점은 보험료를 체납한 경우, 국외에 여행, 업무중인 경우, 자동차보험 혹은 산재보험의 적용을 받는 경우는 건강보험법에서 정한 급여를 적용 받지 못한다는 거 아닙니까?",기타,999
9365,9360,그럼 1단계 요양급여란 무엇인가요?,기타,999
9366,9361,2단계 요양급여란 무엇입니까?,기타,999
9368,9363,2단계 요양급여를 받을 수 있는 자는 누구를 말하나요?,기타,999
9369,9364,실비에서 40%를 적용받는 경우를 정리해주세요.,기타,999
9372,9367,암진단비 담보라는 것이 중요한 담보인가요?,기타,999
9373,9368,암진단비라는 담보가 중요한 이유는 뭔가요?,기타,999
9385,9380,그럼 손보사의 기준 적용과 생보사의 기준 적용은 같나요?,기타,999
9392,9387,5대고액암 10대고액암 등등 소비자 입장에서는 도통 뭔지 이해가 안갑니다. 고액암이 뭔가요?,기타,999
9394,9389,그럼 홈쇼핑에서 판매하는 5대 고액암은 5대 고액암을 위한 보험을 생각하면 될까요?,기타,999
9397,9392,그럼 고액암 종류를 알려주시겠습니까?,기타,999
9401,9396,3대 고액치료비관련암 분류에는 어떤 암이 있나요?,기타,999
9402,9397,암의 설명이 길어서 정리가 안됩니다. 정리를 해주시겠습니까?,기타,999
9403,9398,5대고액암의 종류를 알려주시겠습니까?,기타,999
9404,9399,이 부분도 암의 설명이 길어서 정리가 안됩니다. 정리를 해주시겠습니까?,기타,999
9405,9400,5대고액암은 어느 보험사에서 판매를 하나요?,기타,999
9406,9401,"3대, 5대말고 고액암이 더 있나요?",기타,999
9407,9402,그럼 10대고액치료암도 알려주시겠습니까?,기타,999
9408,9403,설명중에 신생물이 뭔가요?,기타,999
9409,9404,10대 암도 설명이 길어서 정리가 안됩니다. 정리를 해주시겠습니까?,기타,999
9411,9406,암 발병율에서 남자의 암 발병율이 가장 높은 암은 무엇인가요?,기타,999
9412,9407,그럼 암 발병율에서 여자의 암 발병율이 가장 높은 암은 무엇인가요?,기타,999
9415,9410,00츠화재에서만 판매를 하고 있다는 16대특정암 보험의 보험료는 어떤가요?,기타,999
9416,9411,00츠화재에서만 판매를 하고 있다는 16대특정암 보험의 암진단비는 다른 보험에 비해 어떤가요?,기타,999
9423,9418,협약 조건만 가능하단 거네요?,기타,999
9433,9428,수익자가 퇴직자를 칭하는 거 맞나요?,기타,999
9522,9517,입원비 특약도 있어요?,특별 약관,5
9646,9641,최저보증은 몇%이가요?,기타,999
9652,9647,소액암은 무엇인가요?,기타,999
9653,9648,제자리암도 소액암인가요?,기타,999
9654,9649,상피내암은 어떤 암인가요?,기타,999
9683,9678,1년간 냈던 보험료 돌려받을 수 있을까요?,기타,999
9704,9699,임의보험의 종류를 다시 한번 설명해주실래요?,기타,999
9848,9843,미납이 되면 보험은 살아 있는 건가요?,기타,999
9857,9852,미납되면 보험이 정지되는 건가요?,기타,999
9933,9928,특약을 아예 삭제하는 것도 가능한가요?,특별 약관,5
9964,9959,여기서 의무보험은 무엇을 말하나요?,기타,999
9970,9965,보험료는 어떻게 정산되나요?,기타,999
9983,9978,의무보험은 뭔가요?,기타,999
9984,9979,의무보험이 책임보험인가요?,기타,999
9988,9983,그렇다면 운전자보험 특약 변경하려면 어떻게 해야 하나요?,특별 약관,5
9990,9985,알려주실수 있나요?,기타,999
10033,10028,특약을 아예 삭제하는 것도 가능한가요?,특별 약관,5
10176,10171,그럼 보험료를 잠시 안내도 실효되거나 그런 건 아니죠?,기타,999
10245,10239,혹시 저희집 말고 옆집에서 불이 나서 저희집까지 불이 번지면 옆집에서 손해배상을 받을 수 있나요?,기타,999
10287,10281,사고시 운전자보험과 자동차보험의 차이는 뭔가요?,기타,999
10290,10284,자동차 보험의 보험료 절약을 위해 할수 있는 방법은 없나요?,기타,999
10292,10286,운전자 보험의 보험료 절약을 위해 할수 있는 방법은 없나요?,기타,999
10296,10290,그럼 자동차보험에 특약 추가를 통해 운전자보험과 비슷한 기능을 하도록 할 수 있나요?,특별 약관,5
10304,10298,펫보험과 관련하여 질문이 있어요.,기타,999
10319,10313,"상실수익액이라는 말이 있던데, 그게 뭐죠?",기타,999
10324,10318,"계수라는 말도 있던데, 그건 무슨 뜻인가요?",보험 문의,15
10367,10361,"주차장에 차를 세워뒀는데, 누군가 앙심을 품어 제 차를 긁을 경우엔 어떻게 되는거죠?",기타,999
10370,10364,교통사고 시 응급실과 MRI 검사비용은 보험처리가 되나요?,기타,999
10390,10384,학원차량이 운행불가하여 일반승용차로 사범이 학원생들을 수송했는데도 보험 적용이 불가한가요?,기타,999
10400,10394,운전자보험과 자동차보험을 비교하고 있는데 자동차보험은 무엇입니까?,기타,999
10403,10397,자동차 보험의 보험료 절약을 위해 할수 있는 방법은 없나요?,기타,999
10405,10399,운전자 보험의 보험료 절약을 위해 할수 있는 방법은 없나요?,기타,999
10409,10403,그럼 자동차보험에 특약 추가를 통해 운전자보험과 비슷한 기능을 하도록 할 수 있나요?,특별 약관,5
10410,10404,자동차 보험료 산정에서 보험료 할인받는 방법을 알고 싶습니다.,기타,999
10423,10417,표준등급요율은 어떻게 되는 건가요?,기타,999
10424,10418,표준등급요율에서 등급들이 얼마나 나누어져 있나요? ,기타,999
10426,10420,사고가 없으면 표준등급은 매년 몇 등급씩 내려 가나요?,기타,999
10427,10421,그렇다면 일단 보험처리를 하면 얼마동안 시간이 흘러야 등급이 내려가나요?,기타,999
10428,10422,그럼 할인을 유예해주는 경우는 없나요?,기타,999
10448,10442,격락손해 문제가 여전히 손해보험업계의 골칫거리라는데 격락손해가 뭔가요?,기타,999
10451,10445,그런 어떤 경우에 시세하락손해를 인정 받을 수 있나요?,기타,999
10460,10454,설명중 구상여부란 단어 뜻은 뭔가요?,보험 문의,15
10493,10487,보험사고의 의의는 무엇인가요?,기타,999
10496,10490,그럼 무보험자동차를 무엇이라고 하나요?,기타,999
10502,10496,아파트 지하주차장 출입구에서 접촉사고가 났을 경우 도로교통법이 적용되나요?,기타,999
10505,10499,가해자불명사고가 뭔가요?,기타,999
10506,10500,가해자불명사고 자체가 증가했다는 건 보험사나 운전자 입장에서는 다행 아닌가요?,기타,999
10507,10501,가해자불명사고 자체가 증가했다는 이유가 있나요?,기타,999
10513,10507,"과실사고를 무과실사고로 거짓 신고하거나, 도색 등을 위해 고의로 차량을 훼손한 경우는 범죄인가요?",기타,999
10514,10508,무과실사고가 증가했으니 많이 적발되는 경우가 많겠네요?,기타,999
10515,10509,승용차에서 승합차로 변경시 보험승계 되나요?,기타,999
10517,10511,그럼 자동차보험을 어떻게 해야 하나요?,기타,999
10518,10512,10인승 이하 승용차와 10인승 이하 승합차는 보험승계가 되나요?,기타,999
10519,10513,10인승 이하 승용차와 10인승 이하 승합차의 할인할증률 승계도 안되나요?,기타,999
10520,10514,1톤 이하 화물차와 10인승 이하 승용차는 서로 할인할증률 승계는 가능한가요?,기타,999
10523,10517,동일증권은 무엇인가요?,기타,999
10524,10518,승용차의 보험에서 무사고할인을 받고 있는데 보험료를 낮출수 있을까요?,기타,999
10526,10520,그럼 계속보험료는 무엇인가요?,기타,999
10536,10530,자동차보험은 주행중에 일어만 사고만 보상해주는 보험인가요?,기타,999
10562,10556,학원에서 자가용 승용차로 원생을 수송중에 발생한 사고의 보험처리는 어떻게 되나요?,기타,999
10563,10557,학원장이 본인의 자가용으로 원생 이동은 보험처리가 불가하다면 가능한 방법은 무엇인가요?,기타,999
10582,10576,주차해 놓았던 차를 꺼내기 위해 후진 중일 때 후방에서 진행해 오는 차량과 충돌한 경우 사고책임은 어떻게 되나요?,기타,999
10602,10596,재난배상책임보험이 뭔가요?,기타,999
10621,10615,교통사고처리특례법과 12대 중과실 교통사고를 알고 싶은데 우선 교통사고특례법을 알려주세요.,기타,999
10624,10618,12대 중과실 교통사고는 무엇인가요?,기타,999
10625,10619,12대 중과실 교통사고 중에서 보행자 보호의무 위반의 정의는 무엇인가요?,보험 문의,15
10626,10620,12대 중과실 교통사고 중에서 보도침범의 정의는 무엇인가요?,보험 문의,15
10700,10694,암보험에 대해서 알아보고싶어요,기타,999
10701,10695,특약으로 구분되나요?,특별 약관,5
10709,10703,"제가 골프를 치는데 홀인원보험이라는게 있다더라구요,그게 뭐에요?",기타,999
10712,10706,상해사고는 뭘 말하는거죠?,기타,999
10714,10708,특약은 어떤게 있어요?,특별 약관,5
10760,10754,제가 가끔 운전하는데 운전자 보험이 필요할까요?,기타,999
10761,10755,운전자 보험과 자동차 보험의 차이가 뭔가요?,기타,999
10791,10785,단체보험이 뭔가요?,기타,999
10799,10793,저는 OO보험에 들고싶은데요 자세히 알아보려면 어떻게 해야하나요?,보험 가입,0
10800,10794,혹시 모를 사고를 대비해 드는 보험이 있나요?,기타,999
10801,10795,상해보험에 대해서 쉽게 설명해 주실래요?,기타,999
10832,10826,함께 넣을 특약이 있는가요?,특별 약관,5
10835,10829,"네, 더 살펴 볼 특약이 있을까요?",특별 약관,5
11027,11021,가스사고 배상책임보험이란 무엇인가요?,기타,999
11037,11031,PL보험이란 무엇인가요?,기타,999
11038,11032,생산물 배상책임보험이란 무엇인가요?,기타,999
11039,11033,생산물 배상책임보험의 예를 들어 설명해주세요. 이해가 안됩니다.,기타,999
11047,11041,도급업자배상책임보험이란 무엇인가요?,기타,999
11048,11042,도급업자배상책임보험 특징은 무엇인가요?,기타,999
11049,11043,그럼 도급업자배상책임보험 보험료는 어떻게 됩니까?,기타,999
11057,11051,배상책임보험이란 무엇인가요?,기타,999
11060,11054,그럼 개인정보보호 손해배상책임보험이란 무엇인가요?,기타,999
11065,11059,시설소유관리배상책임보험은 무엇인가요?,기타,999
11066,11060,일반적인 배상책임보험과 비슷하네요.,기타,999
11068,11062,선박보험의 위험개시시점은 언제입니까?,기타,999
11069,11063,건조보험은 조건이 다른가요?,기타,999
11070,11064,그럼 선박보험이 무엇인가요?,기타,999
11071,11065,보험증권은 사양이 다른가요?,기타,999
11072,11066,보험증권은 양식은 일반적인 증권과 다른가요?,기타,999
11073,11067,보험 범위는 어떻게 되나요?,기타,999
11074,11068,선박불가동손실보험은 무엇인가요?,기타,999
11075,11069,적하보험이 무엇인가요?,기타,999
11076,11070,기업들은 수출이나 수입 전 이러한 사건 사고에 대비하기 위해 보험이군요.,기타,999
11077,11071,그럼 적하보험의 주체는 누구인가요?,기타,999
11080,11074,보험 개시와 종료는 어떻게 되나요?,기타,999
11081,11075,구간보험이 아니군요.,기타,999
11082,11076,보험효력은 어떻게 발생하나요?,기타,999
11083,11077,적하보험 보험료는 어떻게 되나요?,기타,999
11111,11105,오늘은 실손의료비에 대해 설명해주세요.,기타,999
11116,11110,실손의료비에서 종합실비와 단독실비의 차이는 뭔가요?,기타,999
11117,11111,실손의료비에서 종합실비는 무엇인가요?,기타,999
11119,11113,실비보험의 잘못된 판매는 무엇이 있엇나요?,기타,999
11166,11160,사고를 대비해 보험을 하나 들고싶은데 어떤보험을 들어야할까요?,보험 가입,0
11167,11161,상해보험이 뭔데요?,기타,999
11176,11170,교육보험은 어떤거죠?,기타,999
11181,11175,화재보험을 하나 들고싶은데 알려주시겠어요?,보험 가입,0
11219,11213,소요노동쟁의가 무슨뜻인가요?,보험 문의,15
11227,11221,그럼 화재 배상책임보험이란 어떤거예요?,기타,999
11228,11222,화재 배상책임보험의 특약은 무엇인가요?,특별 약관,5
11275,11269,보험사고가 뭔데요?,기타,999
11280,11274,태아보험이 정확히 뭐예요?,기타,999
11284,11278,태아특약이요?,특별 약관,5
11285,11279,태아에 대한 특약이 들어 가는건가요?,특별 약관,5
11326,11320,화재보험을 들어야 누수를 특약으로 넣을 수 있는거예요?,특별 약관,5
11337,11331,다른 특약은요?,특별 약관,5
11341,11335,화재보험에 특약으로 누수를 넣으란 말이죠?,특별 약관,5
11375,11369,자기부담 특약을 넣으면 보험료가 저렴해진다구요?,특별 약관,5
11381,11375,화재보험 들려구요.,기타,999
11383,11377,화재보험에 누수 특약같은 것도 넣던데 넣을 수 있어요?,특별 약관,5
11473,11467,남성의 경우 어떤 특약이 필요하죠?,특별 약관,5
11540,11534,자동차보험 부부특약 이란게 있나요?,특별 약관,5
11546,11540,특약보험은 뭐가있나요,특별 약관,5
11549,11543,보험 들려고요 ,보험 가입,0
11560,11554,화재보험 알아보려구요,기타,999
11575,11569,특약 전부 추가하면 얼마인가요?,특별 약관,5
11576,11570,많이하는 특약만 넣으면요?,특별 약관,5
11604,11598,자필서명은 직접 서명을 받아야 한다는 정의는 무엇일까요?,보험 문의,15
11607,11601,치매보험이 무엇입니까?,기타,999
11755,11749,유방암은 일반암인가요?,기타,999
11756,11750,그럼 일반암은 어떤 암인가요?,기타,999
11757,11751,소액암은 어떤 종류의 암인가요?,기타,999
11758,11752,유사암은 뭔가요?,기타,999
11763,11757,어떤 특약들이 있나요? ,특별 약관,5
11829,11823,일반 실비와 유병자 실비 보험이 다른 점은 무엇이지요?,기타,999
11851,11845,상해보험은 어떤건가요?,기타,999
11956,11950,산재보험은 민간보험인가요?,기타,999
11975,11969,종신보험이란 정확히 뭔가요?,기타,999
11976,11970,종신이란 말의 뜻이 뭐죠?,보험 문의,15
11992,11986,특약구성은 제가 선택할 수 있나요?,특별 약관,5
12014,12008,임신해서 태아 보험들려구요,기타,999
12036,12030,특약 전부 추가하면 얼마인가요?,특별 약관,5
12051,12045,보험 들고 싶어요,보험 가입,0
12184,12178,특약은 어떤게 필요할까요?,특별 약관,5
12205,12199,해외로 여행을 가는데 여행자보험이 필요할까요?,기타,999
12214,12208,유방암은 일반암인가요?,기타,999
12215,12209,그럼 일반암은 어떤 암인가요?,기타,999
12216,12210,소액암은 어떤 종류의 암인가요?,기타,999
12217,12211,유사암은 뭔가요?,기타,999
12221,12215,식당을 오픈하는데 화재보험은 어떻게 되나요? ,기타,999
12222,12216,어떤 특약들이 있나요? ,특별 약관,5
12282,12276,4대 보험이 뭐예요?,기타,999
12286,12280,건강보험은 무엇인가요?,기타,999
12287,12281,산재보험은 뭐지요?,기타,999
12289,12283,고용보험은 뭐예요?,기타,999
12493,12487,보험을 없애려구요,보험 해지,4
12513,12507,보험을 없애려구요,보험 해지,4
12579,12573,만일 보험료를 제때 내지 않으면 바로 소멸합니까?,기타,999
12658,12652,오토바이 보험이랑 운전자보험이랑 다른가요?,기타,999
12669,12663,자동차보험 부부특약 이란게 있나요?,특별 약관,5
12675,12669,특약보험은 뭐가있나요,특별 약관,5
12678,12672,보험 들려고요 ,보험 가입,0
12704,12698,특약 전부 추가하면 얼마인가요?,특별 약관,5
12705,12699,많이하는 특약만 넣으면요?,특별 약관,5
12733,12727,자필서명은 직접 서명을 받아야 한다는 정의는 무엇일까요?,보험 문의,15
12736,12730,치매보험이 무엇입니까?,기타,999
12875,12869,해외로 여행을 가는데 여행자보험이 필요할까요?,기타,999
12884,12878,유방암은 일반암인가요?,기타,999
12885,12879,그럼 일반암은 어떤 암인가요?,기타,999
12886,12880,소액암은 어떤 종류의 암인가요?,기타,999
12887,12881,유사암은 뭔가요?,기타,999
12891,12885,식당을 새로 오픈하는데 화재보험은 어떻게 되나요? ,기타,999
12892,12886,어떤 특약들이 있나요? ,특별 약관,5
12958,12952,일반 실비와 유병자 실비 보험이 다른 점은 무엇이지요?,기타,999
13022,13016,실손보험 알아보고싶은데요. ,기타,999
13084,13078,산재보험은 어떤 보험인가요?,기타,999
13085,13079,산재보험은 민간보험인가요?,기타,999
13104,13098,종신보험이란 정확히 뭔가요?,기타,999
13105,13099,종신이란 말의 뜻이 뭐죠?,보험 문의,15
13121,13115,특약구성은 제가 선택할 수 있나요?,특별 약관,5
13143,13137,임신해서 태아 보험들려구요,기타,999
13165,13159,특약 전부 추가하면 얼마인가요?,특별 약관,5
13186,13180,보험 하나 들려고요,보험 가입,0
13234,13228,특약 전부 추가하면 얼마인가요?,특별 약관,5
13249,13243,보험 들고 싶어요,보험 가입,0
13255,13249,보험 하나 들려고요,기타,999
13313,13307,특약은 어떤게 필요할까요?,특별 약관,5
13334,13328,해외로 여행을 가는데 여행자보험이 필요할까요?,기타,999
13343,13337,유방암은 일반암인가요?,기타,999
13344,13338,그럼 일반암은 어떤 암인가요?,기타,999
13345,13339,소액암은 어떤 종류의 암인가요?,기타,999
13346,13340,유사암은 뭔가요?,기타,999
13350,13344,식당을 오픈하는데 화재보험은 어떻게 되나요? ,기타,999
13351,13345,어떤 특약들이 있나요? ,특별 약관,5
13384,13378,치매에 관련된 보험이 있나요? ,기타,999
13400,13394,자동차보험 알아봐주세요,기타,999
13411,13405,4대 보험이 뭐예요?,기타,999
13415,13409,건강보험은 무엇인가요?,기타,999
13416,13410,산재보험은 뭐지요?,기타,999
13418,13412,고용보험은 뭐예요?,기타,999
13463,13457,다른 특약이 또 있나요?,특별 약관,5
13467,13461,어떤 보험입니까?,기타,999
13470,13464,자녀를 위한 보험에는 뭐가 있을까요?,기타,999
13499,13493,간병인 보험이 정확이 뭔가요?,기타,999
13534,13528,다른 특약이 또 있나요?,특별 약관,5
13559,13553,펫보험 들고싶어서요?,보험 가입,0
13570,13564,변액보험이 뭔가요?,기타,999
13655,13648,넘어져서 다쳤는데 이 보험처리가 가능한가요?,기타,999
13668,13661,"보험이 너무 어렵네요. 손해보험, 화재보험 이런게 뭐예요?",기타,999
13669,13662,손해보험과 화재보험은 완전히 다른가요?,기타,999
14353,14346,중도인출 일시납은 언제 가능한가요?,기타,999
14368,14361,중도인출의 개념은 무엇인가요?,기타,999
14370,14363,중도인출에서 이자부담은 어떻게 되나요? 간략하게 말씀해 주세요.,기타,999
14371,14364,중도인출에서 상환의무는 어떻게 되나요? 간략하게 말씀해 주세요.,기타,999
14372,14365,중도인출에서 수수료는 어떻게 되나요? 간략하게 말씀해 주세요.,기타,999
14377,14370,보험업법에 그 자산을 운용할 때 적용해야 하는 운용 규칙이 있나요?,기타,999
14378,14371,「보험업법」에 명기된 사항인가요?,기타,999
14379,14372,「보험업법」에 명기된 1가지 사항은 무엇인가요?,기타,999
14380,14373,「보험업법」에 명기된 다음 사항은 무엇인가요?,기타,999
14382,14375,"그럼 ""일반손해보험""의 정의는 무엇인가요?",보험 문의,15
14384,14377,그럼 종피보험자는 누구를 말하나요?,기타,999
14385,14378,"""일반손해보험""에서 보험료를 산출시에 할인율을 적용하지 아니하고 순보험료가 위험보험료만으로 구성된 손해보험을 말한다고 하는데 순보험료는 무엇인가요?",기타,999
14386,14379,그럼 순보험료도 어떤 구성을 가지고 있나요?,기타,999
14394,14387,보험업감독규정 사업방법서에요?,기타,999
14405,14398,"아까 가산이율을 산정하는데 업무원가, 목표이익률을 적용한다고 했는데 구체적인 항목은 무엇이 있습니까?",기타,999
14414,14407,우선 첫번째 이유부터 설명해 주세요.,기타,999
14416,14409,여기서 DB제공이라고 했는데 DB는 무엇인가요?,기타,999
14418,14411,"그럼 DB,DC형은 모든 사업장에 적용 가능한가요?",기타,999
14421,14414,그렇다면 DC형이 근로자 운용방식이라고 했는데 근로자 운용이면 운용부담이 더 큰거 아닌가요?,기타,999
14439,14432,그렇다면 사용대차의 의미를 알려주세요.,기타,999
14457,14450,전혀 보험료 상환방법이 없나요?,기타,999
14482,14475,개인 대출자에게 직접적으로 안좋아진 조항이나 변동된 적용부분이 있나요?,기타,999
14483,14476,답변중에 DSR이 무엇인가요?,기타,999
14489,14482,만일 본인의 계좌로 통장거래를 할 수 없는 경우에는 어떻게 해야 하나요?,기타,999
14714,14707,그럼 원하지 않는 특약만 빼는 것도 되나요?,특별 약관,5
14723,14716,특약이 많으면 보험료가 올라가나요?,특별 약관,5
14724,14717,그럼 특약만 빼는 것도 가능한가요?,특별 약관,5
14725,14718,넣고 싶은 특약을 추가하는 건요?,특별 약관,5
14802,14795,저 통장에 돈이 부족해서 보험료를 못냈어요? 어떡하죠?,기타,999
14971,14958,신용등급에 따라 보험담보대출 조건이 다른가요?,기타,999
14984,14971,보험 실효에 대해서 여쭤보고 싶은데요.,기타,999
15000,14987,의무부가 특약은 뭔가요?,특별 약관,5
15001,14988,의무적으로 결합되었다면 그 특약은 안 들면 안되는 건가요?,특별 약관,5
15005,14992,상해사망 특약이 제 보험증권에서도 살펴보니까 보험료가 센 편인데요?,특별 약관,5
15007,14994,그럼 다른 방법없이 무조건 내야 하는 특약인가요?,특별 약관,5
15067,15054,특약중에 삭제도 가능한가요?,특별 약관,5
15074,15061,이게 특약이 너무 많은 것 같은데 필요없다 싶은 건 빼도 되나요?,특별 약관,5
15165,15152,재해 담보요? 상해와 재해가 어떻게 다른가요?,기타,999
15183,15170,간병비도 특약에 있나요?,특별 약관,5
15308,15295,특약은 자유롭게 선택할 수 있나요?,특별 약관,5
15309,15296,의무특약은 몇가지인가요?,특별 약관,5
15314,15301,복통으로 응급실 가서 진통제 맞은거도 되나요?,기타,999
15431,15418,특약은 어떤게 필요할까요?,특별 약관,5
