Unnamed: 0,번호,질문,의도 카테고리,분류 클래스
4905,4904,그럼 서류도 다 각각 준비해야 하는 건가요?,보험 서류,14
4906,4905,통원치료 받았는데 준비해야 할 서류가 정확히 어떻게 되나요?,보험 서류,14
4907,4906,청구서도 작성해야 한다는데 청구서 양식은 어디서 받을수 있죠?,보험 청구,8
4909,4908,앱으로 하면 아까 말씀하신 서류들은 어떻게 보내죠?,보험 서류,14
4912,4911,안녕하세요. 실비보험 가입자인데 보장관련 궁금한게 있어서요.,보험 가입,0
4913,4912,저기 실비보험은 피부과 진료도 보장이 되나요?,보험 보장,7
4919,4918,수고하십니다. 암보험 청구 문의 드립니다.,보험 청구,8
4921,4920,네? 보장을 못받는 다구요?,보험 보장,7
4923,4922,보험금 청구 하려면 뭘 준비해야 하나요?,보험금,3
4924,4923,서류는 병원에 요청하면 받을수 있는거에요?,보험 서류,14
4926,4925,수고하십니다. 실손의료비 문의드려요,보험 문의,15
4930,4929,그럼 치료 받은 부분은 전혀 보장이 안되나요?,보험 보장,7
4931,4930,수고하십니다. 한의원에서 진료를 받았는데 실비청구가 가능할까요?,보험 청구,8
4932,4931,네 왜그렇죠? 남편 보험은 한의원 보장이 되는데요?,보험 보장,7
4933,4932,그럼 어떤 보험이 한의원 치료 보장이 되는 거죠?,보험 보장,7
4934,4933,아구 그럼 정형외과 진료는 보장이 되나요?,보험 보장,7
4935,4934,자기부담금은 얼마나 되죠?,보험금,3
4936,4935,수고하십니다. 담석증 수술 보험금청구 문의드려요.,보험금,3
4937,4936,네 얼마까지 보장이 되는거죠?,보험 보장,7
4938,4937,다음주 마지막 진료 받으러 가는데 필요한 서류를 준비하려 해요 뭘 준비하면 되죠?,보험 서류,14
4939,4938,서류는 어디로 보내면 되죠?,보험 서류,14
4943,4942,수고하십니다. 병원 권유로 영양제를 맞았는데 실비 청구가 될까요?,보험 청구,8
4944,4943,청구하려면 뭘 준비해야 하죠?,보험 청구,8
4947,4946,밤에 아이가 열이 안떨어져서 응급실을 다녀왔는데 보상이 되나요?,보험 보장,7
4948,4947,응급실갔다가 다음날부터는 외과를 다녔는데 골절인데 보험금이 얼마인가요?,보험금,3
4949,4948,골절진단금이 없는보험이라구요?,보험금,3
4951,4950,타사에도 보험금청구해주실수있나요?,보험금,3
4952,4951,어떤서류인가요?,보험 서류,14
4953,4952,서류만 드리면 청구를 다 해주시나요?,보험 청구,8
4955,4954,세탁기가 고장나서 수리했는데 청구가능한가요?,보험 청구,8
4958,4957,어머 10년 넘으면 보상이 안되나요?,보험 보장,7
4959,4958,얼마까지 보상되는 건가요?,보험 보장,7
4961,4960,필요한서류있나요?,보험 서류,14
4962,4961,제가 지금 자동차 사고가 났는데 어떻해요?,보험금,3
4969,4968,보험청구 할수 있나요?,보험 청구,8
4970,4969,필요한서류가 뭔가요?,보험 서류,14
4971,4970,보상금이 얼마 나오나요?,보험금,3
4972,4971,청구하면 얼마나 걸리죠?,보험 청구,8
4973,4972,더 보상받을게 있을까요?,보험 보장,7
4974,4973,얼마 가입되어있나요?,보험 가입,0
4975,4974,청구는 어떻게하나요?,보험 청구,8
4976,4975,얼마나 보상받을수있나요?,보험 보장,7
4977,4976,제가 가로수 경제석에 넘어져서 팔이 부러졌든데 보상이 되나요?,보험 보장,7
4980,4979,몇일까지 보장받을수 있는거죠?,보험 보장,7
4982,4981,그럼 제가 실비하고 골절진단비 청구하면 되는거죠?,보험 청구,8
4983,4982,필요한 서류좀 알려주실래요?,보험 서류,14
4989,4987,보험에 대한 보장은 어떻게 되나요?,보험 보장,7
4991,4989,보험금은 제가 지불했는데 그건 가능한가요?,보험금,3
4993,4991,전체적으로 지급받기 어렵다는 말이네요?,보험 수령,12
4994,4992,이혼 후에 납입한 보험료는요?,보험 납부,16
4998,4996,상해의 보장 금액은 얼마인지 알고 싶은데요?,보험금,3
4999,4997,당뇨의 보장 금액은 얼마인지 알고 싶습니다.,보험금,3
5000,4998,뇌출혈의 보상 금액을 알고 싶어요.,보험금,3
5001,4999,뇌졸증의 보장 금액은 얼마인지 알고 싶은데요?,보험금,3
5002,5000,심근경색의 보장 액수는 얼마에요?,보험 보장,7
5003,5001,뇌출혈의 보상액은 얼마입니까?,보험 보장,7
5004,5002,뇌졸증의 보상액은 얼마입니까?,보험 보장,7
5005,5003,암의 보상 금액은 얼마인지 알고 싶은데요?,보험금,3
5006,5004,심근경색의 보장 금액은 얼마인지 알고 싶은데요?,보험금,3
5007,5005,심장질환의 보상액은 얼마에요?,보험 보장,7
5008,5006,심근경색의 보장 금액을 알고 싶은데요?,보험금,3
5009,5007,심장질환의 보상 금액은 얼마인지 알고 싶은데요?,보험금,3
5010,5008,당뇨의 보장 금액은 얼마인지 알고 싶습니다.,보험금,3
5011,5009,뇌출혈의 보상액은 얼마입니까?,보험 보장,7
5012,5010,뇌출혈의 보장 액수는 얼마에요?,보험 보장,7
5013,5011,심근경색의 보장 금액을 알고 싶습니다.,보험금,3
5014,5012,뇌졸증의 보상 금액을 알고 싶습니다.,보험금,3
5015,5013,건강의 보장 금액을 알고 싶은데요?,보험금,3
5016,5014,심장질환의 보장 금액을 알고 싶습니다.,보험금,3
5017,5015,암의 보장 금액을 알고 싶은데요?,보험금,3
5018,5016,당뇨의 보상 금액을 알고 싶어요.,보험금,3
5019,5017,뇌졸증의 보장 금액을 알고 싶습니다.,보험금,3
5020,5018,당뇨의 보상 금액은 얼마인지 알고 싶은데요?,보험금,3
5021,5019,고혈압의 보장 액수는 얼마에요?,보험 보장,7
5022,5020,뇌졸증의 보장 금액은 얼마입니까?,보험금,3
5023,5021,상해의 보장 금액을 알고 싶은데요?,보험금,3
5024,5022,뇌졸증의 보상액은 얼마입니까?,보험 보장,7
5025,5023,뇌출혈의 보장 금액은 얼마인지 알고 싶은데요?,보험금,3
5026,5024,건강의 보장 금액은 얼마인지 알고 싶은데요?,보험금,3
5027,5025,상해의 보상 금액은 얼마인지 알고 싶습니다.,보험금,3
5028,5026,뇌출혈의 보상 금액을 알고 싶습니다.,보험금,3
5029,5027,건강의 보장 금액을 알고 싶은데요?,보험금,3
5030,5028,당뇨의 보장 금액은 얼마인지 알고 싶습니다.,보험금,3
5031,5029,뇌출혈의 보상 금액을 알고 싶어요.,보험금,3
5032,5030,고혈압의 보상 금액을 알고 싶습니다.,보험금,3
5033,5031,당뇨의 보장 금액은 얼마인지 알고 싶습니다.,보험금,3
5034,5032,심장질환의 보장 금액은 얼마인지 알고 싶습니다.,보험금,3
5035,5033,뇌졸증의 보장 금액을 알고 싶은데요?,보험금,3
5036,5034,고혈압의 보장 금액은 얼마인지 알고 싶습니다.,보험금,3
5037,5035,암의 보상 금액은 얼마인지 알고 싶은데요?,보험금,3
5038,5036,뇌졸증의 보상 금액은 얼마인지 알고 싶습니다.,보험금,3
5039,5037,심근경색의 보장 금액은 얼마인지 알고 싶은데요?,보험금,3
5040,5038,상해의 보장 액수는 얼마에요?,보험 보장,7
5041,5039,뇌졸증의 보상 금액은 얼마인지 알고 싶은데요?,보험금,3
5042,5040,뇌졸증의 보장 금액은 얼마인지 알고 싶은데요?,보험금,3
5043,5041,뇌졸증의 보상 금액을 알고 싶습니다.,보험금,3
5044,5042,건강의 보상액은 얼마에요?,보험 보장,7
5045,5043,당뇨의 보장 금액은 얼마인지 알고 싶습니다.,보험금,3
5046,5044,뇌출혈의 보상 금액은 얼마인지 알고 싶은데요?,보험금,3
5047,5045,뇌졸증의 보장 금액을 알고 싶은데요?,보험금,3
5049,5047,근데 제가 가입한 보험이 실손 말고 뭐가 또 있죠?,보험 가입,0
5050,5048,서류는 원본으로 내야되죠?,보험 서류,14
5053,5051,실손보험은 중복해서 들어도 다 보상이 되나요?,보험 보장,7
5054,5052,뼈에 금이 가서 통원치료를 받았어요 보험금청구 하려고요,보험금,3
5057,5055,질병코드가 적힌서류는머죠?,보험 서류,14
5058,5056,서류 발급받을때 드는비용도 청구되나요?,보험 청구,8
5059,5057,물리치료와 도수치료도 청구 되나요?,보험 청구,8
5060,5058,무슨 서류요?,보험 서류,14
5061,5059,수술해서 보험금 청구 하려는데요,보험금,3
5062,5060,어떤 약관을 봐야하는거죠?,특별 약관,5
5063,5061,약관에 해당되면 보험금을 받을수 있죠?,보험금,3
5065,5063,그럼 수술 종류에 따라 지급된다는 말이죠?,보험 수령,12
5066,5064,보장안되는 수술도 있나요?,보험 보장,7
5071,5069,실비 말고 다른 보험도 청구되요?,보험 청구,8
5072,5070,필요한 서류가 뭔가요?,보험 서류,14
5076,5074,카페에서 커피를 명품에 쏟아서요 보험청구되나요?,보험 청구,8
5078,5076,청구하는데 필요한게뭐죠?,보험 청구,8
5082,5080,교통사고나서 운전자보험금 타려고요,보험금,3
5084,5082,무슨 서류요?,보험 서류,14
5085,5083,서류는 팩스로 보내면 되요?,보험 서류,14
5087,5085,보험금 청구 하려고 전화했어요,보험금,3
5088,5086,손가락 골절되서 병원갔는데 청구되죠?,보험 청구,8
5091,5089,보험금 청구를 하려고합니다. 도와주시겠어요?,보험금,3
5095,5093,보험금은 어디로 받을 수 있나요.,보험금,3
5099,5097,자가 부담금이 있나요?,보험금,3
5102,5100,수술받고 퇴원하는데 보험금 청구하려고요,보험금,3
5105,5103,약도 타야하는데 약값도 청구되나요?,보험 청구,8
5107,5105,서류는 팩스로 보낼게요,보험 서류,14
5108,5106,교통사고가 났는데 운전자보험 청구하고싶어서요,보험 청구,8
5109,5107,보장이 안된다고요?,보험 보장,7
5112,5110,보험료 청구하고 싶습니다,보험 청구,8
5113,5111,공인인증서가 없는데요?,보험 내용,10
5114,5112,그러면 보험금이 나오나요?,보험금,3
5116,5114,메일로 보내면 메일 확인 후 보험금 바로와요?,보험금,3
5117,5115,어디로 지급되나요?,보험 수령,12
5118,5116,지금 차사고가 났어요 보험금은 어떻게되요?,보험금,3
5124,5122,보험금은 언제쯤나오나요,보험금,3
5125,5123,그럼 사고 난후 사고 보험금은 언제까지 신청할 수있나요?,보험금,3
5126,5124,사고 보험금 신청후 진행사항 확인할 수 있나요?,보험금,3
5129,5127,틀니 실비 청구하려고요,보험 청구,8
5132,5130,어떤게 보장이 되나요?,보험 보장,7
5133,5131,진료비는 청구 된다는건가요?,보험 청구,8
5135,5133,서류는 어떤게 필요한가요?,보험 서류,14
5139,5137,보장 받을 수 있죠?,보험 보장,7
5141,5139,필요한 서류를 팩스로 보내도 된다는거죠?,보험 서류,14
5144,5142,만기 보험금 지급 해주세요,보험 만기,2
5145,5143,만기 수익자 본인이 방문 해야 합니까?,보험 만기,2
5147,5145,그럼 본인이 직접 가면 어떤 서류가 필요 하죠?,보험 서류,14
5149,5147,그럼 대리인이 가면 필요한 서류가 있나요?,보험 서류,14
5150,5148,실손의료비 궁금한게 있습니다,보험금,3
5151,5149,통원했을때 공제금액이 얼마죠?,보험금,3
5157,5155,수술비 청구하려고해요,보험 청구,8
5158,5156,모바일로 청구 가능하나요?,보험 청구,8
5161,5159,암진단 청구 하려고요,보험 청구,8
5162,5160,서류는 뭘 챙겨야하나요,보험 서류,14
5165,5163,수술비 청구하려면 어떻게 해야 합니까 ?,보험 청구,8
5166,5164,모바일로 청구 가능하나요?,보험 청구,8
5169,5167,사랑니 발치 했습니다 보험금 청구하려고요,보험금,3
5170,5168,치과에서 받은거 보장되나요?,보험 보장,7
5172,5170,후에 가입한 사람만 된다는건가요?,보험 가입,0
5174,5172,지금 바로가능한가요?,보험금,3
5175,5173,수술 보험금 청구 하려고요,보험금,3
5179,5177,실비보험 청구하려고 하는데요.,보험 청구,8
5181,5179,서류도 따로 준비해야해요?,보험 서류,14
5182,5180,서류는 뭐 준비해야해요?,보험 서류,14
5183,5181,청구서는 어디서 받을 수 있어요?,보험 청구,8
5187,5185,실비보험 가입자인데 보장관련 질문하려구요.,보험 가입,0
5188,5186,피부과도 보장되나요?,보험 보장,7
5194,5192,암보험 청구 하려고 전화했어요,보험 청구,8
5195,5193,보장 못받는다고요?,보험 보장,7
5199,5197,넘어져서 무릎이 나갔어요 청구하려구요,보험 청구,8
5200,5198,네 보장이 어떻게 되나요?,보험 보장,7
5202,5200,타사에 가입되어있는것도 확인되나요?,보험 가입,0
5204,5202,타사에도 보험금청구 해주실 수있습니까?,보험금,3
5205,5203,어떤 서류가 필요한가요?,보험 서류,14
5206,5204,실손의료비 문의드려요,보험 문의,15
5211,5209,비타민 주사 맞았는데 실비청구 가능해요?,보험 청구,8
5212,5210,무슨 서류가 필요할까요?,보험 서류,14
5215,5213,복막염 보험금청구 하려고요,보험금,3
5220,5218,보험금 받을 수 있죠?,보험금,3
5225,5223,영양제를 맞았는데 실비청구하려구요,보험 청구,8
5226,5224,어떤 서류가 필요합니까?,보험 서류,14
5230,5228,뼈 부러졌는데요 보험금 받으려고요,보험금,3
5231,5229,무슨 서류 내야하나요?,보험 서류,14
5232,5230,제일 쉬운 청구 방법이 먼가요?,보험 청구,8
5234,5232,아들이 넘어져서 다쳣는데 보험금 청구하려고요,보험금,3
5235,5233,어떤 서류가필요하죠?,보험 서류,14
5236,5234,그건 어떤 서류인가요?,보험 서류,14
5238,5236,물리치료도 보장되나요?,보험 보장,7
5242,5240,아들이 친구 손가락을 부러뜨려서요 보험금청구하려고요,보험금,3
5243,5241,생활배상보험에서 보상이 가능한가요?,보험 보장,7
5244,5242,그걸로 보장이 되나요?,보험 보장,7
5246,5244,뼈에 금이 가서 통원치료를 받았어요 보험금청구 하려고요,보험금,3
5249,5247,질병코드가 적힌서류는머죠?,보험 서류,14
5250,5248,서류 발급받을때 드는비용도 청구되나요?,보험 청구,8
5251,5249,물리치료와 도수치료도 청구 되나요?,보험 청구,8
5252,5250,무슨 서류요?,보험 서류,14
5253,5251,수술해서 보험금 청구 하려는데요,보험금,3
5254,5252,어떤 약관을 봐야하는거죠?,특별 약관,5
5255,5253,약관에 해당되면 보험금을 받을수 있죠?,보험금,3
5257,5255,그럼 수술 종류에 따라 지급된다는 말이죠?,보험 수령,12
5258,5256,보장안되는 수술도 있나요?,보험 보장,7
5263,5261,실비 말고 다른 보험도 청구되요?,보험 청구,8
5264,5262,필요한 서류가 뭔가요?,보험 서류,14
5268,5266,카페에서 커피를 명품에 쏟아서요 보험청구되나요?,보험 청구,8
5270,5268,청구하는데 필요한게뭐죠?,보험 청구,8
5274,5272,교통사고나서 운전자보험금 타려고요,보험금,3
5276,5274,무슨 서류요?,보험 서류,14
5277,5275,서류는 팩스로 보내면 되요?,보험 서류,14
5279,5277,보험금 청구 하려고 전화했어요,보험금,3
5280,5278,손가락 골절되서 병원갔는데 청구되죠?,보험 청구,8
5283,5281,보험금 청구를 하려고합니다. 도와주시겠어요?,보험금,3
5287,5285,보험금은 어디로 받을 수 있나요.,보험금,3
5291,5289,자가 부담금이 있나요?,보험금,3
5294,5292,수술받고 퇴원하는데 보험금 청구하려고요,보험금,3
5297,5295,약도 타야하는데 약값도 청구되나요?,보험 청구,8
5299,5297,서류는 팩스로 보낼게요,보험 서류,14
5300,5298,교통사고가 났는데 운전자보험 청구하고싶어서요,보험 청구,8
5301,5299,보장이 안된다고요?,보험 보장,7
5304,5302,보험료 청구하고 싶습니다,보험 청구,8
5305,5303,공인인증서가 없는데요?,보험 내용,10
5306,5304,그러면 보험금이 나오나요?,보험금,3
5308,5306,메일로 보내면 메일 확인 후 보험금 바로와요?,보험금,3
5309,5307,어디로 지급되나요?,보험 수령,12
5310,5308,지금 차사고가 났어요 보험금은 어떻게되요?,보험금,3
5316,5314,보험금은 언제쯤나오나요,보험금,3
5317,5315,그럼 사고 난후 사고 보험금은 언제까지 신청할 수있나요?,보험금,3
5318,5316,사고 보험금 신청후 진행사항 확인할 수 있나요?,보험금,3
5321,5319,틀니 실비 청구하려고요,보험 청구,8
5324,5322,어떤게 보장이 되나요?,보험 보장,7
5325,5323,진료비는 청구 된다는건가요?,보험 청구,8
5327,5325,서류는 어떤게 필요한가요?,보험 서류,14
5331,5329,보장 받을 수 있죠?,보험 보장,7
5333,5331,필요한 서류를 팩스로 보내도 된다는거죠?,보험 서류,14
5336,5334,만기 보험금 지급 해주세요,보험 만기,2
5337,5335,만기 수익자 본인이 방문 해야 합니까?,보험 만기,2
5339,5337,그럼 본인이 직접 가면 어떤 서류가 필요 하죠?,보험 서류,14
5341,5339,그럼 대리인이 가면 필요한 서류가 있나요?,보험 서류,14
5342,5340,실손의료비 궁금한게 있습니다,보험금,3
5343,5341,통원했을때 공제금액이 얼마죠?,보험금,3
5349,5347,수술비 청구하려고해요,보험 청구,8
5350,5348,모바일로 청구 가능하나요?,보험 청구,8
5353,5351,암진단 청구 하려고요,보험 청구,8
5354,5352,서류는 뭘 챙겨야하나요,보험 서류,14
5357,5355,수술비 청구하려면 어떻게 해야 합니까 ?,보험 청구,8
5358,5356,모바일로 청구 가능하나요?,보험 청구,8
5361,5359,사랑니 발치 했습니다 보험금 청구하려고요,보험금,3
5362,5360,치과에서 받은거 보장되나요?,보험 보장,7
5364,5362,후에 가입한 사람만 된다는건가요?,보험 가입,0
5366,5364,지금 바로가능한가요?,보험금,3
5367,5365,수술 보험금 청구 하려고요,보험금,3
5371,5369,실비보험 청구하려고 하는데요.,보험 청구,8
5373,5371,서류도 따로 준비해야해요?,보험 서류,14
5374,5372,서류는 뭐 준비해야해요?,보험 서류,14
5375,5373,청구서는 어디서 받을 수 있어요?,보험 청구,8
5379,5377,실비보험 가입자인데 보장관련 질문하려구요.,보험 가입,0
5380,5378,피부과도 보장되나요?,보험 보장,7
5386,5384,암보험 청구 하려고 전화했어요,보험 청구,8
5387,5385,보장 못받는다고요?,보험 보장,7
5391,5389,넘어져서 무릎이 나갔어요 청구하려구요,보험 청구,8
5392,5390,네 보장이 어떻게 되나요?,보험 보장,7
5394,5392,타사에 가입되어있는것도 확인되나요?,보험 가입,0
5396,5394,타사에도 보험금청구 해주실 수있습니까?,보험금,3
5397,5395,어떤 서류가 필요한가요?,보험 서류,14
5398,5396,실손의료비 문의드려요,보험 문의,15
5403,5401,비타민 주사 맞았는데 실비청구 가능해요?,보험 청구,8
5404,5402,무슨 서류가 필요할까요?,보험 서류,14
5407,5405,복막염 보험금청구 하려고요,보험금,3
5412,5410,보험금 받을 수 있죠?,보험금,3
5417,5415,영양제를 맞았는데 실비청구하려구요,보험 청구,8
5418,5416,어떤 서류가 필요합니까?,보험 서류,14
5422,5420,뼈 부러졌는데요 보험금 받으려고요,보험금,3
5423,5421,무슨 서류 내야하나요?,보험 서류,14
5424,5422,제일 쉬운 청구 방법이 먼가요?,보험 청구,8
5426,5424,아들이 넘어져서 다쳣는데 보험금 청구하려고요,보험금,3
5427,5425,어떤 서류가필요하죠?,보험 서류,14
5428,5426,그건 어떤 서류인가요?,보험 서류,14
5430,5428,물리치료도 보장되나요?,보험 보장,7
5434,5432,아들이 친구 손가락을 부러뜨려서요 보험금청구하려고요,보험금,3
5435,5433,생활배상보험에서 보상이 가능한가요?,보험 보장,7
5436,5434,그걸로 보장이 되나요?,보험 보장,7
5438,5436,제가 개명을 했거든요. 그런데 보험금을 청구하려는데 아직도 예전 이름으로 나오거든요. 왜이래요?,보험금,3
5439,5437,그런데.. 제 통장이름이 변경됐는데 보험금 지급이 되나요?,보험금,3
5440,5438,제가 스마트폰 앱으로 보험금 청구를 하는데 휴대폰으로 인증문자가 안와요? 왜이러나요?,보험금,3
5443,5441,보험금을 청구하면 보통 보험금 들어오는 시간이 어느정도 걸리나요?,보험금,3
5444,5442,저희 아버지가 돌아가셔서 사망보험금을 신청하려고 합니다. 어떻게 해야 하나요?,보험금,3
5445,5443,혹시 보험금 수령을 위해 필요한 서류는 무엇인가요?,보험금,3
5446,5444,그러면 제가 가입한 보험에서 필요한 서류가 어떻게 되는지 알려주세요.,보험 가입,0
5447,5445,그럼 기본적으로 필요한 서류는 어떻게 되나요?,보험 서류,14
5448,5446,혹시 보험금 청구에 필요한 서류를 복사해서 내도 되나요?,보험금,3
5450,5448,보험금을 청구하면 언제 쯤 보험금을 지급해 주나요?,보험금,3
5454,5452,구비서류에는 어떤 것들이 있나요?,보험 서류,14
5455,5453,여행중에 가방을 택시에 두고 내렸습니다.보상이 가능한지요?,보험 보장,7
5458,5456,보상받지 못하는 것들은 또 어떤 것들이 있나요?,보험 보장,7
5459,5457,자동차에 물건이 날아와서 유리가 파손되었는데 보상가능한가요?,보험 보장,7
5461,5459,보상처리가 되면 보험료 할증이 되나요?,보험 보장,7
5464,5462,만기 보험금은 어떻게 지급받나요?,보험 만기,2
5467,5465,그럼 본인이 직접 가면 어떤 서류가 필요 한가요?,보험 서류,14
5470,5468,그럼 대리인이 가면 필요한 서류는요?,보험 서류,14
5471,5469,제가 수술을 받았는데 보험을 청구해야할것같아요.,보험 청구,8
5472,5470,실손의료비 보험 보험 청구가 궁금하네요.,보험금,3
5473,5471,네. 보험금 청구는 본인이 직접 꼭 해야하나요.,보험금,3
5474,5472,"그러면, 대리인이 청구 할때는 어떤것이 필요한가요.",보험 청구,8
5475,5473,통원의료비 청구시에도 진단서가 필요한가요.,보험 청구,8
5477,5475,입원했을 경우 필요한 서류는요.,보험 서류,14
5478,5476,단체보험이 가입 되어있는데 실손이랑 중복 보상이 될까요.,보험 가입,0
5479,5477,"그러면, 두 군데 보험사에 똑같은 서류를 다 보내야하나요.",보험 서류,14
5480,5478,의료비를 감면 받은 경우에는 어떻게 보상이 되나요.,보험 보장,7
5481,5479,의료비 중 환급받은 금액도 보상이 될까요.,보험 환급,1
5482,5480,보험금 청구 가능한지 알아보고싶습니다.,보험금,3
5488,5486,제가 가입한 보험으로 보험금 청구할 수 있을까요.,보험 가입,0
5489,5487,보험금은 얼마나 받을 수 있을까요.,보험금,3
5496,5494,금액이 비싸서 안되면 어쩌나 했습니다.,보험금,3
5497,5495,어떻게 청구하면 되는건가요.,보험 청구,8
5498,5496,그러면 진료비는 언제쯤 통장으로 입금이 되는건가요.,보험금,3
5499,5497,각 시에서 자전거보험을 가입해준다고 들었습니다. 우리 시에서도 보험이 되나요.,보험 가입,0
5500,5498,제 자전거가 가입되어 있는지 확인할 수 있을까요.,보험 가입,0
5502,5500,사고를 당했다면 보험 청구할때까지 기간이 정해져 있나요.,보험 기간,6
5503,5501,청구하려면 어떻게 할까요.,보험 청구,8
5504,5502,준비해야 할 서류가 뭔가요.,보험 서류,14
5505,5503,"네. 진단서 입원확인서는 병원에서 받으면 될것 같고, 보험 청구서는 어디에서 받으면 되나요.",보험 청구,8
5507,5505,보상금은 어디로 입금이 되나요.,보험금,3
5508,5506,제가 갈비뼈에 금이 갔는데 골절 진단금을 받을수있나요?,보험금,3
5509,5507,그렇군요.실비하고 진단금하고 같이 청구할수 있나요?,보험금,3
5510,5508,진단금과 의료실비를 같이 신청 할수 있다는 거죠?,보험금,3
5511,5509,보험청구하는데 어떤 서류가 필요한가요?,보험 청구,8
5513,5511,진단금과 실비보험 두가지를 청구하는데 청구서를 따로 작성해야하나요?,보험금,3
5514,5512,그럼 진단금과 실비청구금도 같이 들어오나요?,보험금,3
5515,5513,보험금 청구하면 언제 입금되나요?,보험금,3
5516,5514,보험청구를 팩스로 보내려고 하는데 어떻게 하면 되나요?,보험 청구,8
5521,5519,예전 병원방문한 것은 언제든 청구할 수 있나요?,보험 청구,8
5522,5520,보험금은 언제 받을 수 있나요?,보험금,3
5523,5521,준비한 서류는 보관해야하나요?,보험 서류,14
5524,5522,자기분담금이 있다는데 안내해주시겠어요?,보험금,3
5525,5523,약값도 자기분담금이 있나요?,보험금,3
5526,5524,보험청구를 휴대폰 어플로 청구할 수 있다던데요?,보험 청구,8
5530,5528,회원가입을 하지 않아도 접수가 되네요?,보험 가입,0
5531,5529,보험금청구서를 따로 영업점에서 받아서 작성해두어야하나요?,보험금,3
5533,5531,치매보험 청구하려면 어떻게 해야하나요?,보험 청구,8
5534,5532,치매 증세 악화로 인해서 보험금 청구가 어려울때 자녀가 대신 청구할 수 있나요?,보험금,3
5538,5536,보험금 청구시 필요한 서류는 어떤 것이 있나요?,보험금,3
5540,5538,지금 서류 준비해서 제출하면 바로 보험금을 받나요?,보험금,3
5541,5539,보험금 청구문의 드릴려구요.,보험금,3
5542,5540,질병으로는 보험금이 어떻게 되나요?,보험금,3
5543,5541,"생각보다 금액이 작은데,,, 입원은 왜 2일째부턴가요?",보험금,3
5545,5543,실비 보험료를 금액이 잘 못 들어온것 같습니다. ,보험금,3
5546,5544,실지급액에 대해 저에게 공지가 되어야하는거 아닌가요?,보험 수령,12
5552,5550,"그러면, 이번 건에 실 지급액이 어떻게 되나요?",보험 수령,12
5553,5551,"생각보다 너무 작네요. 다른 보험도 들고 있는데, 금액 조회가 가능해요?",보험금,3
5554,5552,실손의료비에 대해 문의드릴려구요.,보험 문의,15
5555,5553,"혹, 보험금 청구는 대리인이 할 수 없는건가요?",보험금,3
5556,5554,"네, 그러면 통원의료비 청구때도 진단서가 필요하나요?",보험 청구,8
5558,5556,"그렇군요, 통원치료 할 때 떼서 보낼 서류가 어떻게 되나요?",보험 서류,14
5560,5558,"만약 제 연금이 만기가 되서, 연금을 받는데, 다 못 받고, 사망한다면 보험금액은 어떻게되죠?",보험 만기,2
5562,5560,"연금 받을 때의 나이가 벌써80인데, 배우자가 없을 수도 있겠는데요. 다른 사례들은 어떤가요?",보험금,3
5564,5562,"보험료 납부를 끝내고, 연금 몰아서 받을 수 있다는 말이죠? 그럼 그렇게 하는게 저에게 이득일 것 같은데요",보험금,3
5565,5563,금액 100%를 받을 수 있는 거죠?,보험금,3
5568,5566,"네, 그렇군요, 일단 저는 연금을 일시로 처리하고 싶은데, 어떻게 하면 되나요?",보험금,3
5569,5567,"안녕하세요. 헬스하다가 다쳣는데, 보상이 가능한지요",보험 보장,7
5570,5568,엑스레이도 찍었는데 청구가능한가요?,보험 청구,8
5573,5571,그럼 뭐가 보상되나요?,보험 보장,7
5574,5572,바로 지급되나요?,보험 수령,12
5576,5574,조금 심하게 다쳤는데요,보험금,3
5577,5575,다행이군요. 보상은 어떻게 진행되나요?,보험 보장,7
5580,5578,제가 든 실손과 상해보험 둘다 청구 가능한가요?,보험 청구,8
5582,5580,약관을 보면 그 내용이 나오나요?,특별 약관,5
5583,5581,스포츠 활동을 하다가 다친것도 보상이 되나요?,보험 보장,7
5591,5589,생활보험 보상금이라는게 있던데요?,보험금,3
5598,5596,관련내용을 어디서 볼 수 있을까요?,보험 내용,10
5599,5597,보험금 청구는 어떻게 하면되나요?,보험금,3
5600,5598,서류는 원본이어야하나요?,보험 서류,14
5601,5599,이혼을 했는데 아내 앞으로 된 보험은 해지하면 어떻게 처리 되죠?,보험 해지,4
5603,5601,보험료는 제가 계속 납부했는데.,보험 납부,16
5606,5604,그럼 이혼하고 내가 낸 보험금은요?,보험금,3
5610,5608,자동차보험 지급보험금은 어떻게 계산하나요,보험금,3
5616,5614,대물배상의 보험금 지급 계산은요?,보험금,3
5618,5616,자손의 지급보험금 계산 산식은 요?,보험금,3
5620,5618,통원치료비 어떻게 청구하나요?,보험 청구,8
5622,5620,진료비세부내역서는 어떤거지요?,보험 내용,10
5623,5621,진료받은 서류는 병원 어디서 발급받나요?,보험 서류,14
5625,5623,보험금 청구하면 얼마후에 받나요?,보험금,3
5626,5624,보험금 청구 시효가 있나요?,보험금,3
5628,5626,자살도 사망보험금 받을 수 있나요?,보험금,3
5629,5627,자살했을 때는 보험금이 안나오나요?,보험금,3
5630,5628,보험금이 나오는 보험도 있나요?,보험금,3
5635,5633,만기 보험금 지급은 어떻게 되나요?,보험 만기,2
5636,5634,만기 수익자 본인이 방문 해야 하나요?,보험 만기,2
5638,5636,그럼 본인이 직접 가면 어떤 서류가 필요 한가요?,보험 서류,14
5641,5639,그럼 대리인이 가면 필요한 서류는요?,보험 서류,14
